user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
TChriiis,2020-07-12 10:22:26,1282259014739390466,LIVE RIGHT NOW  ,,4,5,twitch twitchblackout twitchtv twitchstreamer twitchstream videogames Xbox PlayStation  PCGaming DeadbyDaylight retweet Sacramento streamingNOW StreamingLive ,https://t.co/CmMk9bMtYF,https://twitter.com/id/status/1282259014739390466
giangxinhcvn,2020-07-12 09:48:36,1282250499337543680, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282250499337543680
Henzotheweirdo1,2020-07-12 07:18:01,1282212602223849473,Batman Series Arkham asylum Stream highlights via @YouTube @PulseRts @rtsmallstreams @SmallStreamersR,,0,0,Batman Arkham Batwoman twitchblackout Streamer twitchaffliate PCGaming networking YouTube contentcreation ,https://t.co/ubnqLw4atK ,https://twitter.com/id/status/1282212602223849473
ShawnTheRuiner,2020-07-12 06:28:19,1282200094369030144,But wait claims this never happens ,,1,0,TwitchBlackOut ,https://t.co/vVeFdTUnzP,https://twitter.com/id/status/1282200094369030144
stream_caster,2020-07-12 06:25:29,1282199382385987585, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282199382385987585
wtfnickhax,2020-07-12 06:25:24,1282199360235802625, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282199360235802625
layla_kailani,2020-07-12 04:50:11,1282175397182844928,Im Live Some casual RE3 hardcore gameplay Please to help a girl out lt3 ,,0,0,residentevil  residentevil twitch twitchblackout ,https://t.co/33i3iTOANh,https://twitter.com/id/status/1282175397182844928
Vivek93450062,2020-07-12 03:11:54,1282150665217703936, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1282150665217703936
__Langley,2020-07-12 01:41:20,1282127873822691328, @StrawHatBaee Check out COD w SQUAD ,,4,2,twitchblackout twitch TwitchAffilate twitchtv twitchstream ,,https://twitter.com/id/status/1282127873822691328
GamerFuji,2020-07-12 01:33:22,1282125870090424323, @nerdontv Come hang out with @JusJoshinYa as he visits the past and plays RPG Will there be tears Maybe Starting any m…,,4,3,SuperMario ,https://t.co/BTbv9JMyyQ,https://twitter.com/id/status/1282125870090424323
G4LSquad,2020-07-12 01:30:41,1282125191494225922, @StrawHatBaee Check out COD w SQUAD ,,4,2,twitchblackout twitch TwitchAffilate twitchtv twitchstream ,,https://twitter.com/id/status/1282125191494225922
StrawHat_Baee,2020-07-12 01:29:27,1282124884991184902,Check out COD w SQUAD ,,4,2,twitchblackout twitch TwitchAffilate twitchtv twitchstream TwitchPartner TwitchStreamers twitchstreamer ,https://t.co/8Hqn1Q77eH ,https://twitter.com/id/status/1282124884991184902
Hitsugaya210,2020-07-12 01:05:36,1282118880190750720, @nerdontv Come hang out with @JusJoshinYa as he visits the past and plays RPG Will there be tears Maybe Starting any m…,,4,3,SuperMario ,https://t.co/BTbv9JMyyQ,https://twitter.com/id/status/1282118880190750720
JusJoshinYa,2020-07-12 00:39:41,1282112357829767169, @nerdontv Come hang out with @JusJoshinYa as he visits the past and plays RPG Will there be tears Maybe Starting any m…,,4,3,SuperMario ,https://t.co/BTbv9JMyyQ,https://twitter.com/id/status/1282112357829767169
nerdontv,2020-07-12 00:39:26,1282112294583889920,Come hang out with @JusJoshinYa as he visits the past and plays RPG Will there be tears Maybe Starting any minute on ,https://video.twimg.com/tweet_video/Ecr6VXjUcAE3l9r.mp4,4,3,SuperMario twitchblackout ,https://t.co/RuMi4Ag9Er https://t.co/BTbv9JMyyQ,https://twitter.com/id/status/1282112294583889920
__Langley,2020-07-11 21:25:47,1282063564266590208, @MandyGfxdesign Does your new brand need a Graphical support Then dm me ASAP ,,2,2,twitchblackout gamingcommunity gamers overlay ,,https://twitter.com/id/status/1282063564266590208
HRGLIVE,2020-07-11 21:19:31,1282061985312657414, @MandyGfxdesign Does your new brand need a Graphical support Then dm me ASAP ,,2,2,twitchblackout gamingcommunity gamers overlay ,,https://twitter.com/id/status/1282061985312657414
Mandy_Gfxdesign,2020-07-11 21:01:05,1282057347448348677,Does your new brand need a Graphical support Then dm me ASAP ,https://pbs.twimg.com/media/EcrIWYdWkAIXTqH.png ,2,2,twitchblackout gamingcommunity gamers overlay streamer streamingbokep twitchstreamer GamingNews GamerzThailand GFX StreamerNetwork streamingNOW twitchtv buisness illustrations ,https://t.co/xEps0d4jcG,https://twitter.com/id/status/1282057347448348677
FearGod63422340,2020-07-11 19:38:07,1282036468865802240,I WOULD BE LIVE TODAY BY 10PM UK TIME GET READY  DONT FORGET TO LEAVE A FOLLOW ,,3,0,SmallStreamersConnect twitchblackout twitch TwitchAffilate TwitchStreamers fortnite smallstreamersupport ,"https://t.co/aqnLBcppTy

",https://twitter.com/id/status/1282036468865802240
