user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 CCerovec , 2020-07-10 23:57:57 , 1281739466583883777 ,USMAN vs MASVIDAL! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/E8QcFSQ39m,https://video.twimg.com/ext_tw_video/1281613277311770624/pu/vid/640x360/wn6a5R6KsPE7TeEe.mp4?tag=10, 7659 , 1179 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739466583883777 
 4nvnymvs_ , 2020-07-10 23:57:56 , 1281739464583372800 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739464583372800 
 rock1er , 2020-07-10 23:57:52 , 1281739447956992000 ,"Great to chat with @MeganOlivi &amp; @espnmma about my brother @GamebredFighter and his huge fight this weekend against undefeated in the @ufc Welterweight Champion @USMAN84kg. 
When one’s mentality shifts, the world shifts with it. 
Can’t wait! 💪🏾
#UFC251 #FightIsland https://t.co/n8SyB79lOy", empty , 1855 , 128 , empty , https://twitter.com/id/status/1281739447956992000 
 rock1er , 2020-07-10 23:57:46 , 1281739424271761408 ,"Battling uncertainty during a global pandemic, @TheRock applauds the UFC and its fighters' for their mentality that ""the show must always on."" #UFC251 https://t.co/GjUIJbD5R3", empty , 564 , 66 , empty , https://twitter.com/id/status/1281739424271761408 
 rock1er , 2020-07-10 23:57:42 , 1281739405388943360 ,"""Guy's a beast. He's an animal.""

@TheRock tells @MeganOlivi he has ""nothing but great things to say"" about @USMAN84kg 🇳🇬 #UFC251 https://t.co/TIzAElnc2G", empty , 805 , 84 , empty , https://twitter.com/id/status/1281739405388943360 
 rock1er , 2020-07-10 23:57:38 , 1281739390440443904 ,"With experience on some of entertainment's biggest stages, @TheRock's advice to @GamebredFighter: ""Quiet the noise"" and ""do exactly what he was born to do."" #UFC251 https://t.co/mvUpQBDTPX", empty , 727 , 78 , empty , https://twitter.com/id/status/1281739390440443904 
 patrickjkillian , 2020-07-10 23:57:38 , 1281739387810783233 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739387810783233 
 rock1er , 2020-07-10 23:57:34 , 1281739371301924864 ,"""I'm just so grateful that I, as just as big bald tattooed fan, can sit and enjoy."" 

@TheRock is ready for #UFC251 😁🍿 https://t.co/gXuuzyS30L", empty , 990 , 93 ,UFC    , https://twitter.com/id/status/1281739371301924864 
 RileyRadford_ , 2020-07-10 23:57:31 , 1281739357469044737 ,"Former training partners look to become king! 👑

@PetrYanUFC vs @JoseAldoJunior - Order now ➡️ https://t.co/bzG8eulB7q 

#UFC251 | #InAbuDhabi | @VisitAbuDhabi https://t.co/gsCxpRH3aC", empty , 1107 , 201 ,UFC    , https://twitter.com/id/status/1281739357469044737 
 outspoken311 , 2020-07-10 23:57:28 , 1281739347000262657 ,"""We were at the same gym in Miami and Kimbo would just see me hitting the bag and then a rapport was built.""

@GamebredFighter spoke to @bokamotoESPN about his start in backyard brawls promoted by the legendary Kimbo Slice. On Saturday, Masvidal fights for a UFC title 🏆 #UFC251 https://t.co/FQ74UKAl2a", empty , 5269 , 946 , empty , https://twitter.com/id/status/1281739347000262657 
